date,home_team,away_team,tournament,city,country,neutral,home_elo,home_poss,home_gls,away_elo,away_poss,away_gls,elo_diff,poss_diff,gls_diff
2026-07-01,England,DR Congo,FIFA World Cup,Atlanta,United States,True,1985.7774933118424,66.0,6,1744.9047125481268,40.0,4,240.87278076371558,26.0,2
2026-07-01,Belgium,Senegal,FIFA World Cup,Seattle,United States,True,1901.7451403526009,59.7,5,1822.7970050287447,57.7,8,78.94813532385615,2.0,-3
2026-07-01,United States,Bosnia and Herzegovina,FIFA World Cup,Santa Clara,United States,False,1865.1560122196647,60.0,6,1679.799645511314,44.0,4,185.3563667083506,16.0,2
2026-07-02,Spain,Austria,FIFA World Cup,Inglewood,United States,True,2081.93352954919,69.3,4,1878.6994527602703,48.0,5,203.23407678891977,21.299999999999997,-1
2026-07-02,Portugal,Croatia,FIFA World Cup,Toronto,Canada,True,1984.7846760660595,62.0,5,1920.903087693197,53.0,5,63.88158837286255,9.0,0
2026-07-02,Switzerland,Algeria,FIFA World Cup,Vancouver,Canada,True,1906.560040982187,61.7,7,1864.292178146242,63.0,5,42.26786283594515,-1.2999999999999972,2
2026-07-03,Australia,Egypt,FIFA World Cup,Arlington,United States,True,1831.5170990684453,40.7,2,1806.429114152093,54.3,5,25.087984916352298,-13.599999999999994,-3
2026-07-03,Argentina,Cape Verde,FIFA World Cup,Miami Gardens,United States,True,2114.8673899680653,58.3,8,1673.6762693970786,37.3,2,441.19112057098664,21.0,6
2026-07-03,Colombia,Ghana,FIFA World Cup,Kansas City,United States,True,1984.828640794464,60.3,4,1629.8622266393295,35.3,2,354.96641415513454,25.0,2
2026-07-04,Canada,Morocco,FIFA World Cup,Houston,United States,True,1837.101458748248,56.8,8,1976.08977586307,61.8,7,-138.98831711482194,-5.0,1
